id,name,type,skid
14924522,Putative Mi1 5931485437 CL,neuron,14924521
14925913,Putative Mi1 7758677784 CL,neuron,14925912
14925982,Putative Mi1 6319822118 CL,neuron,14925981
14926114,Putative Mi1 6316631693 CL HL,neuron,14926113
14926279,Putative Mi1 8949873250 CL,neuron,14926278
14926373,Putative Mi1 10120037952 CL,neuron,14926372
14926431,Putative Mi1 8292827158 CL,neuron,14926430
14926674,Putative Mi1 11432861277 CL,neuron,14926673
14931494,Putative Mi1 8934549521 CL,neuron,14931493
14931625,Putative Mi1 8928112657 CL,neuron,14931624
14931781,Putative Mi1 10236469039 CL,neuron,14931780
14931926,Putative Mi1 12070034047 CL,neuron,14931925
14932161,Putative Mi1 12073880806 CL,neuron,14932160
14932352,Putative Mi1 12076443365 CL,neuron,14932351
14932623,Putative Mi1 12080935363 CL,neuron,14932622
14933006,Putative Mi1 10889030233 CL,neuron,14933005
14933314,Putative Mi1 9718223761 CL,neuron,14933313
14933582,Putative Mi1 11804536317 CL,neuron,14933581
14933627,Putative Mi1 10371441539 CL,neuron,14933626
14933945,Putative Mi1 11423882302 CL,neuron,14933944
14934051,Putative Mi1 11819269778 CL,neuron,14934050
14934138,Putative Mi1 9740003310 CL,neuron,14934137
14934886,Putative Mi1 8570518740 CL,neuron,14934885
14935040,Putative Mi1 8828337778 CL,neuron,14935039
14935173,Putative Mi1 9212869136 CL,neuron,14935172
14946447,Putative Mi1 13770148 HL,neuron,14946446
14946504,Putative Mi1 13744617 HL,neuron,14946503
14946563,Putative Mi1 7523215381 CL,neuron,14946562
14946747,Putative Mi1 8439373290 CL,neuron,14946746
14946761,Putative Mi1 7393352283 CL,neuron,14946760
14946777,Putative Mi1 7516169711 CL,neuron,14946776
14947096,Putative Mi1 7263499539 CL,neuron,14947095
14947135,Putative Mi1 6866829660 CL,neuron,14947134
14947193,Putative Mi1 10248629804 BG,neuron,14947192
14947707,Putative Mi1 217263685 CL,neuron,14947706
14947733,Putative Mi1 10131533215 CL,neuron,14947732
14947773,Putative Mi1 11427732850 CL,neuron,14947772
14947791,Putative Mi1 10388713522 CL,neuron,14947790
14951087,Putative Mi1 7766329155 CL,neuron,14951086
14951470,Putative Mi1 10226225838 CL,neuron,14951469
14952516,Putative Mi1 9830836758 CL,neuron,14952515
14952701,Putative Mi1 9699689217 CL,neuron,14952700
14953506,Putative Mi1 10873694504 CL,neuron,14953505
14954851,Putative Mi1 11662522468 CL,neuron,14954850
14955062,Putative Mi1 9709267080 CL,neuron,14955061
14955246,Putative Mi1 7763766821 CL,neuron,14955245
14955642,Putative Mi1 9714414198 CL,neuron,14955641
14955735,Putative Mi1 9970931049 CL,neuron,14955734
14955895,Putative Mi1 11930570858 CL,neuron,14955894
14956324,Putative Mi1 217265459 CL,neuron,14956323
14956413,Putative Mi1 11677229017 CL,neuron,14956412
14956507,Putative Mi1 9723338670 CL,neuron,14956506
14956598,Putative Mi1 7764420019 CL,neuron,14956597
14956708,Putative Mi1 6827801742 CL,neuron,14956707
