root_id,hemisphere,type,column_id,x,y,p,q,annotation_v3_1_0_type,type_match,lens_index,retinal_direction,experimental_screen_transform
720575940615890235,left,T5d,422,-7,-4,5,-9,T5d,True,,,
720575940615891412,left,T5b,42,-1,14,8,6,T5b,True,,,
720575940615900127,left,T4d,192,7,10,-2,12,T4d,True,,,
720575940615901382,right,T5c,149,6,-14,-13,-1,T5c,True,,,
720575940615903419,left,T4a,368,-4,-20,-6,-14,T4a,True,,,
720575940615909900,right,T5d,773,5,-19,-15,-4,T5d,True,,,
720575940615910213,left,T4b,430,-3,-7,-1,-6,T4b,True,,,
720575940615911583,right,T4a,111,2,-24,-14,-10,T4a,True,,,
720575940615914438,left,T5d,87,1,11,4,7,T5d,True,,,
720575940615916742,left,T4b,640,-1,-16,-7,-9,T4b,True,,,
720575940615918348,right,T4d,678,3,-7,-7,0,T4d,True,,,
720575940615920582,left,T4c,67,-2,-13,-5,-8,T4c,True,,,
720575940615923615,left,T4b,678,3,-7,-7,0,T4b,True,,,
720575940615927750,left,T4a,164,-1,-2,0,-2,T4a,True,,,
720575940615928635,left,T5c,477,-3,2,4,-2,T5c,True,,,
720575940615931186,right,T5c,50,-2,21,12,9,T5c,True,,,
720575940615932428,left,T4b,200,-5,12,11,1,T4b,True,,,
720575940615936966,left,T4b,465,3,0,-3,3,T4b,True,,,
720575940615940364,left,T4d,157,-1,-7,-3,-4,T4d,True,,,
720575940615943786,right,T5d,284,0,25,12,13,T5d,True,,,
720575940615944854,left,T5d,730,7,0,-7,7,T5d,True,,,
720575940615949068,left,T5b,747,0,2,1,1,T5b,True,,,
720575940615954282,right,T4d,21,-2,19,11,8,T4d,True,,,
720575940615958175,left,T4b,570,2,25,10,15,T4b,True,,,
720575940615962636,left,T5b,312,4,-7,-8,1,T5b,True,,,
720575940615969330,left,T5d,597,4,1,-4,5,T5d,True,,,
720575940615970060,left,T5d,540,-2,-9,-3,-6,T5d,True,,,
720575940615973062,left,T5a,778,7,-15,-15,0,T5a,True,,,
720575940615974342,left,T5b,170,-5,1,5,-4,T5b,True,,,
720575940615982047,right,T5c,618,-1,24,13,11,T5c,True,,,
720575940615985164,right,T4a,520,-2,-22,-9,-13,T4a,True,,,
720575940615985606,left,T5d,220,2,-6,-5,-1,T5d,True,,,
720575940615987131,right,T5d,635,6,-6,-9,3,T5d,True,,,
720575940616000268,left,T4d,647,-4,-7,0,-7,T4d,True,,,
720575940616004108,left,T4b,616,-3,15,10,5,T4b,True,,,
720575940616008350,right,T4d,36,6,8,-2,10,T4d,True,,,
720575940616009522,left,T4c,733,-5,-17,-4,-13,T4c,True,,,
720575940616012556,left,T4b,423,3,-18,-12,-6,T4b,True,,,
720575940616014348,left,T5d,539,-6,15,13,2,T5d,True,,,
720575940616015046,left,T4b,540,-2,-9,-3,-6,T4b,True,,,
720575940616015803,right,T4c,622,-5,20,15,5,T4c,True,,,
720575940616018482,left,T5b,432,-5,7,8,-1,T5b,True,,,
720575940616019724,left,T4a,627,0,-1,-1,0,T4a,True,,,
720575940616020274,left,T4d,93,-6,3,7,-4,T4d,True,,,
720575940616024866,right,T5a,513,-4,-13,-3,-10,T5a,True,,,
720575940616044447,left,T4d,188,-5,17,13,4,T4d,True,,,
720575940616044998,left,T5b,234,1,3,0,3,T5b,True,,,
720575940616045279,right,T5a,745,0,13,6,7,T5a,True,,,
720575940616052054,right,T4b,701,0,-4,-2,-2,T4b,True,,,
720575940616052166,left,T4a,486,0,1,0,1,T4a,True,,,
720575940616066154,left,T5a,572,-8,3,9,-6,T5a,True,,,
720575940616084948,right,T4a,51,0,-19,-10,-9,T4a,True,,,
720575940616089906,left,T5b,178,2,11,3,8,T5b,True,,,
720575940616091954,right,T5c,53,5,14,2,12,T5c,True,,,
720575940616100255,left,T4c,417,-6,-10,1,-11,T4c,True,,,
720575940616109825,right,T5d,418,-2,15,9,6,T5d,True,,,
720575940616110523,right,T4b,146,1,-6,-4,-2,T4b,True,,,
720575940616122043,left,T4b,550,-2,3,3,0,T4b,True,,,
720575940616122674,right,T5a,453,3,25,9,16,T5a,True,,,
720575940616127627,left,T5b,243,-1,-21,-10,-11,T5b,True,,,
720575940616130955,right,T4a,749,-2,1,2,-1,T4a,True,,,
720575940616135692,left,T5b,263,-3,4,5,-1,T5b,True,,,
720575940616136565,right,T5c,98,-1,-12,-5,-7,T5c,True,,,
720575940616141324,left,T5b,83,2,-21,-13,-8,T5b,True,,,
720575940616141378,left,T4a,775,5,22,6,16,T4a,True,,,
720575940616141874,left,T4a,420,6,-3,-8,5,T4a,True,,,
720575940616145595,left,T5a,537,0,-23,-12,-11,T5a,True,,,
720575940616147573,right,T4b,420,6,-3,-8,5,T4b,True,,,
720575940616148330,right,T4a,149,6,-14,-13,-1,T4a,True,,,
720575940616149204,left,T5b,134,-5,-18,-4,-14,T5b,True,,,
720575940616150203,left,T4c,55,-4,-11,-2,-9,T4c,True,,,
720575940616150459,left,T4b,161,4,-14,-11,-3,T4b,True,,,
720575940616158366,right,T4a,192,7,10,-2,12,T4a,True,,,
720575940616165738,right,T4a,317,-5,-4,3,-7,T4a,True,,,
720575940616174292,right,T5b,790,-2,-27,-12,-15,T5b,True,,,
720575940616181721,left,T4d,548,1,-16,-9,-7,T4d,True,,,
720575940616182228,left,T4c,623,1,13,5,8,T4c,True,,,
720575940616188021,right,T5a,83,2,-21,-13,-8,T5a,True,,,
720575940616189841,left,T5b,600,3,-10,-8,-2,T5b,True,,,
720575940616191861,right,T4c,255,-6,-13,-1,-12,T4c,True,,,
720575940616194677,right,T4a,94,5,18,4,14,T4a,True,,,
720575940616194772,right,T5d,772,1,12,5,7,T5d,True,,,
720575940616203166,right,T4b,561,5,7,-2,9,T4b,True,,,
720575940616205707,right,T5d,452,1,-9,-6,-3,T5d,True,,,
720575940616205836,left,T4a,614,-2,-8,-2,-6,T4a,True,,,
720575940616208982,right,T4a,330,3,3,-2,5,T4a,True,,,
720575940616209494,right,T4c,682,6,-8,-10,2,T4c,True,,,
720575940616219353,right,T5b,706,-7,-12,1,-13,T5b,True,,,
720575940616224414,right,T4c,770,5,4,-3,7,T4c,True,,,
720575940616228725,right,T4a,58,3,12,3,9,T4a,True,,,
720575940616231641,right,T5a,363,7,-4,-9,5,T5a,True,,,
720575940616234252,right,T5d,65,-1,28,15,13,T5d,True,,,
720575940616236446,right,T4d,727,7,6,-4,10,T4d,True,,,
720575940616238009,right,T5b,400,1,-29,-16,-13,T5b,True,,,
720575940616238521,right,T4c,693,-3,25,15,10,T4c,True,,,
720575940616249461,right,T5d,115,-4,2,5,-3,T5d,True,,,
720575940616250041,right,T5c,103,7,9,-3,12,T5c,True,,,
